,line,geometry,color
0,1,"MULTILINESTRING ((127.061034 37.9481, 127.05479 37.927878, 127.057277 37.913702, 127.056482 37.901885, 127.055716 37.892334, 127.061277 37.843188, 127.056486 37.818486, 127.044708 37.774381, 127.042292 37.75938, 127.044213 37.748577, 127.045958 37.738415, 127.046895 37.724846, 127.047455 37.709914, 127.046222 37.689313, 127.045595 37.679563, 127.044273 37.667503, 127.047731 37.653166, 127.051269 37.644799, 127.058831 37.633212, 127.061835 37.623632, 127.065851 37.614805, 127.067325 37.601854, 127.063549 37.596073, 127.057583 37.58946, 127.046835 37.580178, 127.034893 37.578103, 127.025087 37.575297, 127.016429 37.572627, 127.009745 37.57142, 127.001849 37.570926, 126.991806 37.571607, 126.982923 37.570161, 126.977108 37.564718, 126.972559 37.554648, 126.9713 37.541021, 126.964561 37.529849, 126.942454 37.514219, 126.926382 37.513342, 126.917169 37.517122, 126.907628 37.515504, 126.891295 37.508725, 126.881966 37.503039, 126.870793 37.496756, 126.85868 37.494594, 126.845365 37.494526, 126.823388 37.492258, 126.811502 37.485178, 126.79544 37.482753, 126.782686 37.48405, 126.764843 37.486562, 126.753664 37.4876, 126.74109 37.488418, 126.724805 37.489493, 126.707704 37.483664, 126.702896 37.471408, 126.694181 37.464737, 126.679923 37.464941, 126.668672 37.46607, 126.656666 37.466769, 126.642706 37.468446, 126.632802 37.475276, 126.616936 37.476691), (126.881966 37.503039, 126.882343 37.481072), (126.882343 37.481072, 126.889249 37.466613, 126.89398 37.455626, 126.902295 37.435047, 126.908706 37.419232, 126.922874 37.401592, 126.935433 37.384653, 126.943429 37.372221, 126.948462 37.35356, 126.948345 37.344285, 126.948217 37.320852, 126.97075 37.300349, 126.989627 37.283862, 126.999874 37.265974, 127.013222 37.245025, 127.032731 37.207503, 127.04318 37.187533, 127.063197 37.168953, 127.06672 37.145885, 127.062278 37.109447, 127.054301 37.075696, 127.052819 37.056496, 127.070444 37.0188, 127.085159 36.990726, 127.126964 36.916076, 127.143904 36.870593, 127.14896 36.833705, 127.146826 36.810005, 127.135763 36.801215, 127.1214 36.793759, 127.104361 36.792053, 127.052991 36.777629, 127.003249 36.780483, 126.951108 36.769502), (126.89398 37.455626, 126.884466 37.416182), (127.032731 37.207503, 127.051672 37.195504))",#0052A4
1,2,"MULTILINESTRING ((126.977108 37.564718, 126.982618 37.566014, 126.99191 37.566295, 126.998079 37.566941, 127.007896 37.565138, 127.01782 37.565972, 127.029354 37.564354, 127.037732 37.561533, 127.043655 37.555273, 127.047367 37.547184, 127.055961 37.544581, 127.07023 37.540693, 127.085916 37.537077, 127.094681 37.535095, 127.10379 37.520733, 127.102234 37.51395, 127.086162 37.511687, 127.073642 37.510997, 127.06316 37.508844, 127.049008 37.504503, 127.036456 37.500622, 127.027926 37.497175, 127.01408 37.493415, 127.007917 37.491897, 126.997596 37.481426, 126.981685 37.47653, 126.963693 37.47693, 126.952739 37.481247, 126.941892 37.482362, 126.929715 37.484201, 126.913149 37.487462, 126.901401 37.485266, 126.895801 37.49297, 126.891295 37.508725, 126.89476 37.517933, 126.895951 37.52497, 126.902281 37.53438, 126.913739 37.549463, 126.925381 37.557192, 126.936893 37.555134, 126.946013 37.556733, 126.956141 37.557345, 126.963672 37.559973, 126.977108 37.564718), (127.055961 37.544581, 127.050899 37.561904, 127.046481 37.57004, 127.038091 37.574028, 127.025087 37.575297), (126.891295 37.508725, 126.882768 37.514287, 126.865819 37.512398, 126.852912 37.520074, 126.846683 37.531768))",#009D3E
2,3,"LINESTRING (126.747569 37.676087, 126.761334 37.670072, 126.773359 37.659477, 126.77762 37.652206, 126.78787 37.643114, 126.811024 37.631626, 126.83265 37.634592, 126.843041 37.653324, 126.872642 37.650658, 126.895558 37.653083, 126.913951 37.648048, 126.918821 37.636763, 126.921008 37.619001, 126.929887 37.610469, 126.935756 37.600927, 126.943736 37.589066, 126.950291 37.582299, 126.957748 37.574571, 126.97353 37.575762, 126.985443 37.576477, 126.991806 37.571607, 126.99191 37.566295, 126.99428 37.561243, 127.005602 37.559052, 127.010655 37.55434, 127.015872 37.548034, 127.017965 37.540685, 127.028461 37.527072, 127.020114 37.516334, 127.01122 37.512759, 127.004943 37.50481, 127.01408 37.493415, 127.016189 37.485013, 127.034631 37.484147, 127.046769 37.486947, 127.055381 37.490858, 127.063642 37.494612, 127.070594 37.496663, 127.079532 37.493514, 127.08439 37.483681, 127.10188 37.487371, 127.118234 37.492522, 127.12454 37.495918, 127.128111 37.502162)",#EF7C1C
3,4,"LINESTRING (127.079066 37.670272, 127.073572 37.660878, 127.061368 37.655128, 127.047731 37.653166, 127.034709 37.648627, 127.025732 37.638052, 127.025983 37.62667, 127.030053 37.613292, 127.025053 37.603407, 127.016403 37.592624, 127.006221 37.588458, 127.001844 37.582336, 127.009745 37.57142, 127.007896 37.565138, 126.99428 37.561243, 126.986325 37.560989, 126.978246 37.558514, 126.972559 37.554648, 126.972106 37.54456, 126.97311 37.534777, 126.967894 37.52917, 126.974345 37.522272, 126.979306 37.502971, 126.981989 37.486263, 126.981685 37.47653, 126.989134 37.463873, 127.002303 37.451673, 127.007888 37.443885, 127.006523 37.435675, 126.996568 37.433021, 126.98978 37.426513, 126.976715 37.401553, 126.963883 37.394287, 126.950806 37.389793, 126.943429 37.372221, 126.933274 37.358101, 126.925365 37.349801, 126.917332 37.328467, 126.903524 37.312212, 126.866489 37.302795, 126.85344 37.309689, 126.838573 37.315941, 126.823249 37.316777, 126.805913 37.320646, 126.788532 37.327082, 126.765844 37.338212, 126.742989 37.351735, 126.738714 37.362357)",#00A5DE
4,5,"MULTILINESTRING ((126.812741 37.577446, 126.806171 37.572399, 126.801058 37.562434, 126.811973 37.561184, 126.825448 37.560183, 126.837668 37.558598, 126.836318 37.548768, 126.840461 37.541513, 126.846683 37.531768, 126.856191 37.524997, 126.864931 37.526065, 126.875181 37.524496, 126.886176 37.525583, 126.895951 37.52497, 126.905139 37.522669, 126.917169 37.517122, 126.924191 37.521624, 126.932901 37.527098, 126.945932 37.539574, 126.951592 37.544018, 126.95682 37.553736, 126.963672 37.559973, 126.966641 37.565773, 126.976669 37.571026, 126.991806 37.571607, 126.998079 37.566941, 127.007896 37.565138, 127.013828 37.560245, 127.020331 37.554548, 127.029476 37.557322, 127.037732 37.561533, 127.042973 37.5661, 127.052704 37.566747, 127.064623 37.56144, 127.079542 37.557121, 127.089761 37.551691, 127.10357 37.545303, 127.123572 37.538397, 127.132481 37.535804, 127.140004 37.537801, 127.142853 37.545477, 127.143999 37.55137, 127.154151 37.555004, 127.166417 37.556712, 127.175864 37.557465, 127.192968 37.563132, 127.203912 37.552125, 127.206869 37.541682, 127.223249 37.539809), (127.132481 37.535804, 127.136248 37.527788), (127.136248 37.527788, 127.130848 37.516078, 127.126133 37.508857, 127.128111 37.502162, 127.13482 37.498079, 127.14415 37.493105, 127.152781 37.49499))",#996CAC
5,6,"MULTILINESTRING ((126.915577 37.598605, 126.922744 37.606021, 126.929887 37.610469, 126.933031 37.618456, 126.921008 37.619001, 126.91727 37.611377, 126.915577 37.598605), (126.913629 37.591148, 126.909645 37.583876, 126.900984 37.576646, 126.899298 37.569532, 126.903343 37.563515, 126.910052 37.556094, 126.913739 37.549463, 126.922852 37.547716, 126.931993 37.547456, 126.942069 37.547771, 126.951592 37.544018, 126.961351 37.539261, 126.97311 37.534777, 126.986695 37.534675, 126.994302 37.534488, 127.001725 37.539631, 127.007055 37.548013, 127.010655 37.55434, 127.013828 37.560245, 127.01782 37.565972, 127.016429 37.572627, 127.015241 37.579661, 127.019381 37.585286, 127.029005 37.586272, 127.036296 37.590508, 127.041518 37.601948, 127.048491 37.606377, 127.056431 37.610537, 127.065851 37.614805, 127.07512 37.617983, 127.084689 37.620064, 127.091401 37.617283, 127.103218 37.612887), (126.915577 37.598605, 126.913629 37.591148))",#CD7C2F
6,7,"LINESTRING (127.053196 37.700109, 127.046222 37.689313, 127.055315 37.67785, 127.057675 37.66494, 127.061368 37.655128, 127.064303 37.644583, 127.06799 37.636352, 127.072896 37.625742, 127.07512 37.617983, 127.077725 37.610637, 127.079264 37.602545, 127.085032 37.596362, 127.087503 37.588579, 127.088478 37.580894, 127.086727 37.573647, 127.08432 37.565923, 127.079542 37.557121, 127.074658 37.548014, 127.07023 37.540693, 127.066704 37.53154, 127.05335 37.519365, 127.04128 37.517186, 127.031656 37.514229, 127.021415 37.511093, 127.011727 37.508178, 127.004943 37.50481, 126.993513 37.487618, 126.981989 37.486263, 126.971251 37.484596, 126.953822 37.496029, 126.94791 37.502834, 126.93915 37.504898, 126.928276 37.499701, 126.920428 37.499872, 126.90993 37.50008, 126.895801 37.49297, 126.887249 37.486056, 126.882343 37.481072, 126.867911 37.47605, 126.854876 37.479252, 126.838713 37.486637, 126.823388 37.492258, 126.810939 37.506207, 126.797337 37.50538, 126.787036 37.503663, 126.77596 37.503048, 126.763538 37.504631, 126.753083 37.505781, 126.742153 37.506411, 126.73128 37.506997, 126.720548 37.508336)",#747F00
7,8,"LINESTRING (127.127562 37.55021, 127.123572 37.538397, 127.120508 37.530341, 127.112359 37.517409, 127.102234 37.51395, 127.106979 37.505431, 127.112183 37.499703, 127.118234 37.492522, 127.1225 37.485855, 127.126191 37.478703, 127.126662 37.470047, 127.149908 37.457122, 127.159816 37.451535, 127.156866 37.44521, 127.147564 37.440918, 127.140722 37.437428, 127.129087 37.43213)",#EA545D
8,9,"LINESTRING (126.798153 37.578608, 126.801058 37.562434, 126.810678 37.563726, 126.816601 37.567532, 126.829497 37.567336, 126.841333 37.568381, 126.854456 37.561391, 126.861939 37.557402, 126.865689 37.550632, 126.874916 37.546936, 126.88308 37.544277, 126.893525 37.53802, 126.902281 37.53438, 126.917874 37.528105, 126.924191 37.521624, 126.928422 37.517274, 126.942454 37.514219, 126.953222 37.512887, 126.963708 37.50877, 126.979306 37.502971, 126.987332 37.501364, 126.995925 37.503415, 127.004943 37.50481, 127.015259 37.504206, 127.02506 37.504598, 127.033868 37.507287, 127.043593 37.51098, 127.053282 37.513011, 127.060245 37.514219, 127.073642 37.510997, 127.08801 37.504312, 127.096939 37.502414, 127.106979 37.505431, 127.112187 37.510292, 127.116106 37.516519, 127.130848 37.516078, 127.138708 37.519253, 127.148612 37.528743)",#BB8336
9,K2,"LINESTRING (127.046835 37.580178, 127.037732 37.561533, 127.044707 37.543617, 127.040534 37.527381, 127.04128 37.517186, 127.043593 37.51098, 127.049008 37.504503, 127.052873 37.496237, 127.055381 37.490858, 127.058856 37.486839, 127.06614 37.489116, 127.07272 37.491373, 127.10188 37.487371, 127.126662 37.470047, 127.126697 37.448605, 127.127709 37.440019, 127.129087 37.43213, 127.128715 37.411185, 127.12827 37.396104, 127.123592 37.385126, 127.114322 37.378455, 127.108105 37.36706, 127.10891 37.350077, 127.108942 37.339824, 127.107395 37.324753, 127.108196 37.312752, 127.105664 37.298969, 127.111313 37.286102, 127.115936 37.275619, 127.108847 37.26181, 127.078934 37.259489, 127.071394 37.251568, 127.057353 37.245795, 127.040566 37.252759, 127.030736 37.261911, 127.015678 37.265481, 126.999874 37.265974)",#F5A200
10,D,"LINESTRING (127.027926 37.497175, 127.034631 37.484147, 127.03842 37.470023, 127.055664 37.447211, 127.111217 37.394761, 127.108105 37.36706, 127.10891 37.350077, 127.102976 37.337928, 127.095026 37.322702, 127.0801 37.313335, 127.069342 37.297664, 127.051478 37.288617, 127.044483 37.30211)",#D4003B
11,K2_,"LINESTRING (126.738714 37.362357, 126.745177 37.379681, 126.742699 37.391769, 126.733522 37.40095, 126.722478 37.400614, 126.708627 37.401637, 126.695216 37.407722, 126.687389 37.412603, 126.67894 37.417804, 126.657772 37.428514, 126.649619 37.448493, 126.638297 37.460789, 126.623853 37.46874, 126.616936 37.476691)",#F5A200
12,I1,"LINESTRING (126.735637 37.571462, 126.742654 37.566379, 126.745077 37.553703, 126.738665 37.545059, 126.728128 37.543238, 126.722597 37.538157, 126.722527 37.530415, 126.721514 37.517268, 126.720548 37.508336, 126.722244 37.498383, 126.724805 37.489493, 126.718247 37.485312, 126.710208 37.477679, 126.707938 37.467048, 126.702221 37.457405, 126.701012 37.449396, 126.699706 37.442383, 126.698579 37.434935, 126.698863 37.426684, 126.693863 37.41804, 126.687389 37.412603, 126.681015 37.404737, 126.674005 37.397878, 126.661673 37.387855, 126.656365 37.382268, 126.645168 37.378384, 126.639484 37.386007, 126.634729 37.393054, 126.630347 37.399907)",#7CA8D5
13,I2,"LINESTRING (126.627178 37.594877, 126.642696 37.59518, 126.657108 37.60185, 126.666998 37.597566, 126.673203 37.592928, 126.675844 37.585212, 126.673728 37.569104, 126.677566 37.561405, 126.677122 37.5517, 126.676787 37.543742, 126.675539 37.524649, 126.676672 37.517054, 126.676203 37.506193, 126.676203 37.506193, 126.675208 37.4897, 126.683673 37.484192, 126.68113 37.473703, 126.679923 37.464941, 126.681192 37.458335, 126.692575 37.457611, 126.702221 37.457405, 126.709986 37.456805, 126.719298 37.45583, 126.732094 37.454911, 126.736939 37.448161, 126.752618 37.448769, 126.75997 37.440127)",#ED8B00
14,K1,"MULTILINESTRING ((126.964561 37.529849, 126.974345 37.522272, 126.988537 37.519594, 127.009169 37.52943, 127.017965 37.540685, 127.034538 37.549946, 127.037732 37.561533, 127.046835 37.580178, 127.057583 37.58946, 127.076116 37.594917, 127.085032 37.596362, 127.091909 37.59955, 127.107906 37.606596, 127.143869 37.603392, 127.161153 37.608806, 127.19364 37.60533, 127.208832 37.586781, 127.222672 37.579622, 127.243939 37.547371, 127.310115 37.554669, 127.329098 37.545981, 127.372921 37.525545, 127.399367 37.516169, 127.443173 37.51382, 127.473868 37.506062, 127.491814 37.492832, 127.547076 37.468672, 127.594647 37.48223, 127.629617 37.476444), (126.964561 37.529849, 126.961351 37.539261), (126.961351 37.539261, 126.951592 37.544018, 126.935711 37.551881, 126.925381 37.557192, 126.915487 37.568491, 126.900984 37.576646, 126.895611 37.580842, 126.868387 37.602888, 126.843223 37.612314, 126.834146 37.612102, 126.820783 37.618808, 126.811024 37.631626, 126.801762 37.645676, 126.794461 37.658239, 126.786243 37.672346, 126.769846 37.682077, 126.761086 37.694023, 126.761356 37.712327, 126.767257 37.725826, 126.765347 37.751322, 126.774644 37.766217, 126.792587 37.796188, 126.792783 37.815298, 126.788047 37.854619, 126.746922 37.888599), (126.915487 37.568491, 126.942696 37.559837, 126.972559 37.554648))",#77C4A3
15,AREX,"LINESTRING (126.972559 37.554648, 126.951592 37.544018, 126.925381 37.557192, 126.900984 37.576646, 126.829497 37.567336, 126.801058 37.562434, 126.735637 37.571462, 126.673728 37.569104, 126.625327 37.555878, 126.5237 37.511466, 126.49379 37.492904, 126.476241 37.458366)",#0090D2
16,P1,"MULTILINESTRING ((127.046835 37.580178, 127.057583 37.58946, 127.076116 37.594917, 127.085032 37.596362, 127.091909 37.59955, 127.103218 37.612887, 127.114757 37.634118, 127.12684 37.64202, 127.143952 37.648311, 127.176933 37.65108, 127.207853 37.637382, 127.244493 37.653225, 127.285379 37.658978, 127.311767 37.652782, 127.379319 37.684071, 127.42661 37.735488, 127.454821 37.770246, 127.510739 37.814536, 127.557695 37.832067, 127.58933 37.830779, 127.634146 37.805723, 127.71434 37.818466, 127.723792 37.864007, 127.717023 37.885054), (127.061835 37.623632, 127.085032 37.596362))",#0C8E72
17,U1,"LINESTRING (127.052803 37.727048, 127.046895 37.724846, 127.04353 37.728755, 127.043257 37.737202, 127.034781 37.739256, 127.037023 37.743302, 127.049565 37.743676, 127.056947 37.745271, 127.06362 37.748885, 127.071495 37.75059, 127.076902 37.754025, 127.083715 37.750471, 127.085035 37.742802, 127.087159 37.737279, 127.088704 37.733579)",#FDA600
18,S1,"LINESTRING (127.012789 37.663146, 127.013252 37.656088, 127.013746 37.649593, 127.016792 37.641701, 127.017519 37.634802, 127.018152 37.627165, 127.02048 37.621512, 127.013528 37.62124, 127.008009 37.612343, 127.01349 37.602798, 127.016403 37.592624, 127.019381 37.585286, 127.025087 37.575297)",#B0CE18
19,Y1,"LINESTRING (127.115936 37.275619, 127.126033 37.270161, 127.136515 37.269606, 127.143714 37.274917, 127.152716 37.269043, 127.159443 37.260752, 127.168075 37.242115, 127.178406 37.239151, 127.190294 37.237964, 127.198781 37.237247, 127.209198 37.237845, 127.214251 37.24484, 127.218457 37.258965, 127.21364 37.267051, 127.219561 37.285342)",#509F22
20,K4,"LINESTRING (127.111217 37.394761, 127.12827 37.396104, 127.20336 37.409522, 127.253115 37.398972, 127.299 37.374419, 127.34674 37.351315, 127.40476 37.317185, 127.44226 37.265579, 127.490277 37.260192, 127.570938 37.295309, 127.628607 37.282701)",#003DA5
